Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,Team,Year,PlayerID
16,Liván Moinelo*,27,3,0,1,0.98,27,NA,NA,0,0,5,27.2,11,3,3,0,5,2,37,0,0,0,97,0.578,3.6,0,1.6,12,7.4,Fukuoka Softbank Hawks,2023,moinel000liv
17,Yuito Mori,31,2,3,0.4,4.6,6,NA,NA,0,0,0,29.1,28,15,15,2,9,0,27,0,0,0,126,1.261,8.6,0.6,2.8,8.3,3,Fukuoka Softbank Hawks,2023,mori--000yui
18,Shuto Ogata,24,0,1,0,4,12,NA,NA,0,0,0,18,18,11,8,3,3,0,15,1,0,0,75,1.167,9,1.5,1.5,7.5,5,Fukuoka Softbank Hawks,2023,ogata-000shu
19,Ryosuke Ohtsu,24,2,0,1,2.43,46,NA,NA,0,0,0,40.2,34,14,11,5,11,1,21,2,0,1,164,1.107,7.5,1.1,2.4,4.6,1.91,Fukuoka Softbank Hawks,2023,ohtsu-001ryo
20,Tomohisa Ohzeki*,25,5,7,0.417,2.92,17,NA,NA,2,1,0,104.2,86,36,34,11,35,0,76,6,0,1,427,1.156,7.4,0.9,3,6.5,2.17,Fukuoka Softbank Hawks,2023,ohzeki000tom
21,Roberto Osuna,28,3,2,0.6,0.92,49,NA,NA,0,0,26,49,28,5,5,3,6,1,42,0,0,0,170,0.694,5.1,0.6,1.1,7.7,7,Fukuoka Softbank Hawks,2023,osuna-002rob
22,Arata Shiino,27,0,1,0,3.86,11,NA,NA,0,0,0,16.1,17,9,7,1,9,2,17,0,0,1,73,1.592,9.4,0.6,5,9.4,1.89,Fukuoka Softbank Hawks,2023,shiino010ara
23,Carter Stewart,23,3,6,0.333,3.38,14,NA,NA,0,0,0,77.1,70,31,29,7,42,1,67,1,0,3,344,1.448,8.1,0.8,4.9,7.8,1.6,Fukuoka Softbank Hawks,2023,stewar004car
24,Rei Takahashi,27,0,2,0,10.8,5,NA,NA,0,0,0,11.2,23,14,14,3,6,0,2,1,0,0,63,2.486,17.7,2.3,4.6,1.5,0.33,Fukuoka Softbank Hawks,2023,takaha000rei
25,Shota Takeda,30,1,2,0.333,3.91,29,NA,NA,0,0,0,46,45,20,20,1,19,0,38,2,0,1,197,1.391,8.8,0.2,3.7,7.4,2,Fukuoka Softbank Hawks,2023,takeda000sho
26,Fumimaru Taura*,23,2,1,0.667,2.38,45,NA,NA,0,0,0,34,31,9,9,1,12,1,28,7,0,3,150,1.265,8.2,0.3,3.2,7.4,2.33,Fukuoka Softbank Hawks,2023,taura-000fum
27,Yuki Tsumori,25,4,4,0.5,3.51,56,NA,NA,0,0,0,48.2,37,20,19,4,21,2,44,3,0,0,202,1.192,6.8,0.7,3.9,8.1,2.1,Fukuoka Softbank Hawks,2023,tsumor000yuk
28,Tsuyoshi Wada*,42,8,6,0.571,3.24,21,NA,NA,0,0,0,100,89,39,36,10,29,0,85,3,0,0,414,1.18,8,0.9,2.6,7.7,2.93,Fukuoka Softbank Hawks,2023,wada--001tsu
